,date,plume_lat,plume_lon,emission,source_type,ipcc
2522,11/10/2021,32.2001892,-103.67335,49.5705064,compressor,1B2 Oil & Natural Gas
2523,09/08/2021,31.834165,-103.48856,406.5540409,tank,1B2 Oil & Natural Gas
2524,06/08/2021,31.834165,-103.48856,406.5540409,tank,1B2 Oil & Natural Gas
2525,09/08/2021,31.8342094,-103.48856,148.7728992,tank,1B2 Oil & Natural Gas
2526,06/08/2021,31.8342094,-103.48856,148.7728992,tank,1B2 Oil & Natural Gas
2527,20/07/2021,40.4357612,-104.68304,281.8666523,compressor,1B2 Oil & Natural Gas
2528,06/08/2021,32.0647619,-103.72775,246.7565339,pipeline,1B2 Oil & Natural Gas
2529,11/10/2021,32.0647619,-103.72775,246.7565339,pipeline,1B2 Oil & Natural Gas
2530,11/10/2021,32.0647619,-103.72775,246.7565339,pipeline,1B2 Oil & Natural Gas
2531,06/08/2021,32.0647619,-103.72775,215.769566,pipeline,1B2 Oil & Natural Gas
2532,11/10/2021,32.0647619,-103.72775,215.769566,pipeline,1B2 Oil & Natural Gas
2533,11/10/2021,32.0647619,-103.72775,215.769566,pipeline,1B2 Oil & Natural Gas
2534,29/07/2021,32.239515,-103.58246,234.254417,well,1B2 Oil & Natural Gas
2535,22/10/2019,32.239515,-103.58246,234.254417,tank,1B2 Oil & Natural Gas
2536,27/07/2021,31.741616,-103.49713,156.6619319,pipeline,1B2 Oil & Natural Gas
2537,27/07/2021,31.9128385,-103.45824,82.05102707,well,1B2 Oil & Natural Gas
2538,27/07/2021,32.089687,-103.56721,656.4643095,tank,1B2 Oil & Natural Gas
2539,26/07/2021,32.1837784,-101.89141,101.9777986,pipeline,1B2 Oil & Natural Gas
2540,10/08/2021,31.796997,-102.12232,396.0230385,compressor,1B2 Oil & Natural Gas
2541,05/08/2021,31.924868,-103.66963,819.5490989,compressor,1B2 Oil & Natural Gas
2542,15/07/2021,40.1584574,-104.51916,56.58430402,well,1B2 Oil & Natural Gas
2543,29/07/2021,32.0643997,-103.93497,140.9534957,pipeline,1B2 Oil & Natural Gas
2544,27/07/2021,31.7235198,-103.63687,100.7929274,compressor,1B2 Oil & Natural Gas
2545,29/07/2021,32.166249,-104.05957,97.16285719,tank,1B2 Oil & Natural Gas
2546,07/08/2021,32.152591,-103.95303,276.9567169,tank,1B2 Oil & Natural Gas
2547,05/08/2021,31.860437,-104.02538,425.7163529,tank,1B2 Oil & Natural Gas
2548,06/08/2021,31.848967,-103.67811,89.09136127,well,1B2 Oil & Natural Gas
2549,05/08/2021,31.955633,-103.66833,546.4500772,well,1B2 Oil & Natural Gas
2550,04/08/2021,31.8634805,-101.84432,137.6854015,tank,1B2 Oil & Natural Gas
2551,05/08/2021,32.0762,-103.41148,346.8974052,tank,1B2 Oil & Natural Gas
2552,26/07/2021,31.852236,-101.77693,769.7874826,processing,1B2 Oil & Natural Gas
2553,10/08/2021,31.6984214,-102.07506,1012.544509,compressor,1B2 Oil & Natural Gas
2554,19/07/2021,40.1449979,-104.75091,208.2709709,processing,1B2 Oil & Natural Gas
2555,27/07/2021,31.7349254,-103.47212,218.5750527,well,1B2 Oil & Natural Gas
2556,07/05/2021,28.8671697,-90.491146,482.2169989,well,1B2 Oil & Natural Gas
2557,06/08/2021,32.125278,-103.5497,664.9488204,compressor,1B2 Oil & Natural Gas
2558,08/08/2021,32.096628,-101.83645,1416.367066,well,1B2 Oil & Natural Gas
2559,15/05/2021,40.095568,-80.297824,743.8207845,coal vent,1B1a Coal Mining
2560,21/05/2021,39.966976,-80.11125,789.048481,compressor,1B2 Oil & Natural Gas
2561,05/08/2021,31.76838,-103.99129,396.5947082,tank,1B2 Oil & Natural Gas
2562,05/08/2021,31.8811868,-103.41943,145.2214143,well,1B2 Oil & Natural Gas
2563,29/07/2021,32.1250423,-104.11912,79.67666905,compressor,1B2 Oil & Natural Gas
2564,05/08/2021,31.870368,-103.77544,350.9569449,tank,1B2 Oil & Natural Gas
2565,27/07/2021,32.023867,-103.53535,93.76743805,tank,1B2 Oil & Natural Gas
2566,20/07/2021,40.3695457,-104.9955,432.0946164,livestock,3A2 Manure Management
2567,10/08/2021,31.704782,-101.8908,1229.235961,compressor,1B2 Oil & Natural Gas
2568,07/08/2021,31.838315,-104.05682,183.3213619,well,1B2 Oil & Natural Gas
2569,04/08/2021,31.732858,-103.52733,264.5945576,pipeline,1B2 Oil & Natural Gas
2570,27/07/2021,31.8734567,-103.85745,86.79179081,processing,1B2 Oil & Natural Gas
2571,19/07/2021,40.194343,-103.73973,172.6992266,livestock,3A2 Manure Management
2572,07/08/2021,32.1666354,-103.50037,302.0601207,pipeline,1B2 Oil & Natural Gas
2573,11/10/2021,32.1666354,-103.50037,302.0601207,pipeline,1B2 Oil & Natural Gas
2574,11/10/2021,32.1666354,-103.50037,302.0601207,pipeline,1B2 Oil & Natural Gas
2575,07/08/2021,32.1667166,-103.50037,385.785608,pipeline,1B2 Oil & Natural Gas
2576,11/10/2021,32.1667166,-103.50037,385.785608,pipeline,1B2 Oil & Natural Gas
2577,11/10/2021,32.1667166,-103.50037,385.785608,pipeline,1B2 Oil & Natural Gas
2578,29/07/2021,32.1091892,-104.15781,960.367385,well,1B2 Oil & Natural Gas
2579,27/07/2021,31.7540255,-103.6198,126.6961193,tank,1B2 Oil & Natural Gas
2580,04/08/2021,31.699363,-103.54569,275.0027421,well,1B2 Oil & Natural Gas
2581,26/07/2021,32.243737,-101.90541,161.9717682,processing,1B2 Oil & Natural Gas
2582,27/07/2021,31.942106,-103.77879,85.19529124,pipeline,1B2 Oil & Natural Gas
2583,26/07/2021,31.852494,-101.9196,150.1098195,well,1B2 Oil & Natural Gas
2584,05/08/2021,32.0774872,-104.08229,11.81340847,tank,1B2 Oil & Natural Gas
2585,14/05/2021,40.1264,-80.04914,731.7148788,tank,1B2 Oil & Natural Gas
2586,09/08/2021,31.867801,-103.60059,286.7871476,well,1B2 Oil & Natural Gas
2587,29/07/2021,32.2216629,-103.9744,723.6207007,compressor,1B2 Oil & Natural Gas
2588,06/08/2021,31.955312,-103.82306,201.3243792,well,1B2 Oil & Natural Gas
2589,10/08/2021,31.661878,-101.8735,1088.78128,pipeline,1B2 Oil & Natural Gas
2590,15/07/2021,40.0560295,-104.9922,364.2703158,well,1B2 Oil & Natural Gas
2591,22/09/2021,40.0560295,-104.9922,364.2703158,well,1B2 Oil & Natural Gas
2592,22/09/2021,40.0560295,-104.9922,364.2703158,well,1B2 Oil & Natural Gas
2593,15/07/2021,40.0559078,-104.9922,78.2836221,well,1B2 Oil & Natural Gas
2594,22/09/2021,40.0559078,-104.9922,78.2836221,well,1B2 Oil & Natural Gas
